Cluster,GeneSymbol
TA,Hist1h2ae
TA,Hist1h1a
TA,Ckap2l
TA,Kif2c
TA,Ska1
TA,Rad18
TA,Ndc80
TA,Kif11
TA,Sgol2a
TA,Clspn
TA,Ccnf
TA,Traip
TA,Brca1
TA,Knl1
TA,Fbxo5
TA,Incenp
TA,Aspm
TA,Cenpf
TA,Ska3
TA,Spag5
TA,Exo1
TA,Kif20a
TA,Ncapg
TA,Ncaph
TA,Kif4
TA,Hist1h4d
TA,Shcbp1
TA,Tubb5
TA,Spc25
TA,Bub1
TA,Nusap1
TA,Bub1b
TA,Dscc1
TA,Oip5
TA,Kifc1
TA,Cks1b
TA,Ncapd2
TA,Mcm8
TA,2810417H13Rik
TA,Eme1
TA,Tpx2
TA,Rad54l
TA,Ascl2
TA,Tuba1b
TA,Zwilch
TA,Cenpm
TA,Rad51
TA,Hirip3
TA,Plk4
TA,Blm
TA,Ect2
TA,Prelp
TA,Cdk1
TA,Mki67
TA,Hist1h1e
TA,Cenph
TA,Tubb2b
TA,Stmn1
TA,Cdca8
TA,Pole
TA,Ncapg2
TA,Plk1
TA,Kif18a
TA,Diaph3
TA,Ube2t
TA,Psmc3ip
TA,H2afx
TA,Nuf2
TA,Ckap2
TA,Ube2c
TA,Syce2
TA,Kif20b
TA,Sgol1
TA,Asf1b
TA,Smc2
TA,Nrm
TA,Cenpu
TA,Ccdc18
TA,Mcm10
TA,4930427A07Rik
TA,Smc4
TA,Cenpl
TA,Trip13
TA,Siah1b
TA,Tk1
TA,Atad2
TA,Melk
TA,Racgap1
TA,Phgdh
TA,Mis18a
TA,Cdc45
TA,Chtf18
TA,Spdl1
TA,Anln
TA,Mt2
TA,Axin2
TA,Hist2h2ac
TA,Rrm1
TA,Slco3a1
TA,Kif22
TA,Tubb2a
TA,Ifitm3
TA,Cdk5rap2
TA,Haus5
TA,Dbf4
TA,Cep55
TA,Atad5
TA,Sapcd2
TA,Cenpk
TA,Foxm1
TA,Ccna2
TA,Rfc4
TA,Slc29a1
TA,Kif23
TA,Palb2
TA,Bora
TA,Cenpe
TA,Notch1
TA,Spata24
TA,Aurka
TA,Apitd1
TA,Tyms
TA,Tacc3
TA,Ckap5
TA,Rrm2
TA,Pola1
TA,Lig1
TA,Siva1
TA,Gas2l3
TA,Rgcc
TA,Gins2
TA,4930579G24Rik
TA,Morc4
TA,Brca2
TA,Mdc1
TA,Gins1
TA,Hmmr
TA,Cdc7
TA,Fen1
TA,Nup133
TA,Dnmt1
TA,E2f8
TA,Spc24
TA,Rfc5
TA,Trim59
TA,Nap1l1
TA,Ccnb1
TA,Cks2
TA,Chaf1a
TA,Lrr1
TA,Nde1
TA,Fam83d
TA,Cdc25c
TA,Mcph1
TA,Haus4
TA,Uhrf1
TA,Arhgap19
TA,Nfatc2ip
TA,Dlgap5
TA,Mad2l1
TA,Slfn9
TA,Ctc1
TA,Gsg2
TA,Igfbp4
TA,Cep192
TA,Cdca4
TA,Tcf19
TA,Aaas
TA,Odf2
TA,Cenpp
TA,Agpat4
TA,Skp2
TA,Fignl1
TA,Dnph1
TA,Tcof1
TA,Haus8
TA,Aqp4
TA,Rasa3
TA,Dnajc9
TA,Cdo1
TA,Cttnbp2
TA,Cbx6
TA,Pold1
TA,Suv39h1
TA,Nrtn
TA,Mphosph9
TA,Birc5
TA,Rpa2
TA,Noxa1
TA,Ezh2
TA,Psip1
TA,Haus3
TA,Dach1
TA,Sema5a
TA,Cenpq
TA,Pkmyt1
TA,Ccdc77
TA,Mtbp
TA,Vrk1
TA,Wee1
TA,Fam111a
TA,Nav1
TA,Timeless
TA,Mthfd2
TA,Chek2
TA,Mgme1
TA,Sfrp5
TA,Nmral1
TA,Trim37
TA,Chek1
TA,Smo
TA,Suv39h2
TA,Prim2
TA,Mms22l
TA,Haus6
TA,Scn2b
Late_Enterocytes_Progenitors,Apol10a
Late_Enterocytes_Progenitors,St3gal4
Late_Enterocytes_Progenitors,Cdkn2b
Late_Enterocytes_Progenitors,Alpi
Late_Enterocytes_Progenitors,Fam3b
Late_Enterocytes_Progenitors,Slc26a6
Late_Enterocytes_Progenitors,Slc40a1
Late_Enterocytes_Progenitors,Chp2
Late_Enterocytes_Progenitors,Slc13a1
Late_Enterocytes_Progenitors,Lgals3
Late_Enterocytes_Progenitors,Hsd17b2
Late_Enterocytes_Progenitors,Slc51a
Late_Enterocytes_Progenitors,Gsdmc4
Late_Enterocytes_Progenitors,Efnb2
Late_Enterocytes_Progenitors,Edn2
Late_Enterocytes_Progenitors,Maf
Late_Enterocytes_Progenitors,Sult6b2
Late_Enterocytes_Progenitors,Mall
Late_Enterocytes_Progenitors,Ms4a18
Late_Enterocytes_Progenitors,Hkdc1
Late_Enterocytes_Progenitors,Slc25a45
Late_Enterocytes_Progenitors,Ces1f
Late_Enterocytes_Progenitors,Enpep
Late_Enterocytes_Progenitors,Slc7a9
Late_Enterocytes_Progenitors,Creb3l3
Late_Enterocytes_Progenitors,BC025446
Late_Enterocytes_Progenitors,Sis
Late_Enterocytes_Progenitors,Clec2h
Late_Enterocytes_Progenitors,Adh6a
Late_Enterocytes_Progenitors,Nr1i3
Late_Enterocytes_Progenitors,Reg3g
Late_Enterocytes_Progenitors,Batf2
Late_Enterocytes_Progenitors,Erich4
Late_Enterocytes_Progenitors,Pla2g12b
Late_Enterocytes_Progenitors,Arg2
Late_Enterocytes_Progenitors,Slc26a3
Late_Enterocytes_Progenitors,Smlr1
Late_Enterocytes_Progenitors,Upp1
Late_Enterocytes_Progenitors,2010106E10Rik
Late_Enterocytes_Progenitors,Car4
Late_Enterocytes_Progenitors,Clic5
Late_Enterocytes_Progenitors,Cyp4f14
Late_Enterocytes_Progenitors,Akr1b8
Late_Enterocytes_Progenitors,Cox7a1
Late_Enterocytes_Progenitors,Krt20
Late_Enterocytes_Progenitors,Tm6sf2
