"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cpsf2",2.72008951140028e-58,-0.239851829064681,0.378,0.802,8.44669395975128e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lamtor3",3.05837774159787e-58,-0.242318167004787,0.408,0.827,9.49718040098386e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Atf3",3.15389451648669e-58,-0.247712806043688,0.143,0.519,9.7937886420461e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cenpu",3.26400178700199e-58,-0.158529454607438,0.077,0.423,1.01357047491773e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Duox2",3.66941127424323e-58,-0.192304450570975,0.019,0.313,1.13946228299075e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Vdac3",4.23735762324894e-58,-0.249755520186387,0.91,0.989,1.31582666274749e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ost4",4.55870000413299e-58,0.332018788186097,0.869,0.874,1.41561311228342e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpl35",4.86909407773188e-58,0.288804968755423,0.977,0.989,1.51199978395808e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Dph3",5.47352798513191e-58,-0.277656459092295,0.639,0.934,1.69969464522301e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lif",6.82795284409488e-58,-0.163753511208485,0.021,0.317,2.12028419667678e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Knstrn",8.56507013438288e-58,-0.26182178292608,0.247,0.645,2.65971122882992e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cdc34",1.01173132843808e-57,-0.23704804407972,0.353,0.775,3.14172929419877e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ccdc34",1.06128206739682e-57,-0.261954133235043,0.781,0.97,3.29559920388734e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"X2310039H08Rik",1.24266095613718e-57,0.341374082078403,0.797,0.759,3.85883506709279e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ifnar2",1.38602526892505e-57,-0.160529852705035,0.101,0.459,4.30402426759297e-53
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Klf5",1.76863172284328e-57,-0.282698774783632,0.932,0.992,5.49213208894523e-53
